contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,underlying_symbol,option_type,expiration_date,quote_timestamp,downloaded_at,source
SPY260529C00435000,2026-05-07 13:55:47+00:00,435.0,300.34,296.84,299.66,5.25,1.7791183,1.0,27.0,1.0871627673339845,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00450000,2026-05-01 15:59:06+00:00,450.0,274.0,281.88,284.7,0.0,0.0,5.0,204.0,1.0288134497070316,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00455000,2026-03-26 16:33:02+00:00,455.0,199.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00460000,2026-04-21 20:09:44+00:00,460.0,248.2,271.91,274.73,0.0,0.0,10.0,25.0,0.991211025390625,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00470000,2026-03-20 13:48:23+00:00,470.0,192.76,241.48,244.28,0.0,0.0,60.0,60.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00475000,2026-03-03 14:30:00+00:00,475.0,205.01,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00480000,2026-03-27 14:43:26+00:00,480.0,164.61,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00485000,2026-02-19 14:40:44+00:00,485.0,203.85,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00490000,2026-02-25 14:30:05+00:00,490.0,205.75,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00495000,2026-04-29 16:28:13+00:00,495.0,216.99,237.02,239.84,0.0,0.0,1.0,3.0,0.8637708935546875,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00500000,2026-05-01 15:58:10+00:00,500.0,225.13,232.04,234.86,0.0,0.0,1.0,32.0,0.8464370825195311,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00505000,2026-03-09 14:30:03+00:00,505.0,165.84,206.72,209.52,0.0,0.0,22.0,22.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00510000,2026-05-05 14:35:24+00:00,510.0,214.64,222.07,224.89,0.0,0.0,1.0,68.0,0.8110370458984374,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00515000,2026-03-30 15:12:50+00:00,515.0,128.81,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00520000,2026-05-05 17:46:33+00:00,520.0,205.49,212.1,214.92,0.0,0.0,4.0,18.0,0.7761252856445313,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00525000,2026-03-31 14:44:38+00:00,525.0,121.86,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00530000,2026-04-15 15:48:13+00:00,530.0,171.0,202.14,204.96,0.0,0.0,1.0,51.0,0.7423121472167968,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00535000,2026-04-17 17:51:09+00:00,535.0,178.5,197.16,199.98,0.0,0.0,1.0,14.0,0.725588681640625,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00540000,2026-04-20 14:52:58+00:00,540.0,170.71,192.17,194.99,0.0,0.0,1.0,27.0,0.7081328015136719,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00545000,2026-05-04 19:02:36+00:00,545.0,174.21,187.19,190.01,0.0,0.0,1.0,9.0,0.6914093359375001,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00550000,2026-04-29 18:16:21+00:00,550.0,161.53,182.21,185.03,0.0,0.0,50.0,73.0,0.6748079394531252,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00555000,2026-04-29 18:31:01+00:00,555.0,156.35,177.23,180.05,0.0,0.0,4.0,24.0,0.65820654296875,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00560000,2026-05-07 16:55:47+00:00,560.0,173.93,172.25,175.07,0.13999939,0.080556646,9.0,170.0,0.641727215576172,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00565000,2026-04-28 14:56:58+00:00,565.0,147.61,167.27,170.09,0.0,0.0,2.0,167.0,0.6252478881835939,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
